epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
193,,1.93659,1.95214,2.52206,0.82812,0.87901,0.90035,,1.42596,1.17046,2.04981
194,,1.96564,1.99715,2.55159,0.82732,0.87889,0.89964,,1.42528,1.16923,2.04928
195,,1.95404,1.97674,2.53998,0.83085,0.87516,0.89904,,1.42522,1.166,2.04838
196,,1.96736,1.97561,2.53216,0.82152,0.88395,0.89981,,1.42531,1.16736,2.04904
197,,1.92502,1.9237,2.51065,0.82048,0.88885,0.90024,,1.42592,1.16599,2.04879
198,,1.96097,1.98109,2.53399,0.83108,0.87878,0.90121,,1.42249,1.1675,2.04735
199,,1.94827,1.97252,2.53396,0.82612,0.8873,0.90207,,1.42247,1.16417,2.0463
200,,1.94192,1.96755,2.53769,0.82773,0.88536,0.90235,,1.42209,1.16405,2.04716
201,,1.93441,1.94373,2.52431,0.82423,0.89009,0.90302,,1.4222,1.15922,2.04685
202,,1.92964,1.91366,2.51471,0.82472,0.88881,0.90342,,1.42293,1.15586,2.04673
203,,1.93072,1.91487,2.5214,0.82549,0.89007,0.90417,,1.42362,1.1538,2.04639
204,,1.93196,1.9376,2.51777,0.82645,0.88798,0.90465,,1.42181,1.15683,2.04469
205,,1.93403,1.95253,2.52904,0.82458,0.89136,0.90458,,1.42158,1.15732,2.04458
206,,1.9183,1.9304,2.52115,0.82716,0.88971,0.90487,,1.41947,1.15621,2.04337
207,,1.92153,1.93189,2.51279,0.82854,0.89069,0.90521,,1.41873,1.15312,2.04124
208,,1.90964,1.91177,2.50697,0.83075,0.89055,0.90499,,1.41744,1.15103,2.04061
209,,1.92824,1.92656,2.51101,0.8274,0.89287,0.90466,,1.41728,1.15099,2.0402
210,,1.92668,1.92689,2.52907,0.82993,0.88896,0.9049,,1.41809,1.15054,2.04074
211,,1.93778,1.90553,2.52222,0.82988,0.89251,0.9048,,1.41472,1.15286,2.03894
212,,1.92093,1.93821,2.50645,0.83128,0.8894,0.90441,,1.41425,1.14986,2.03899
213,,1.91991,1.9478,2.5205,0.83122,0.88983,0.90491,,1.41465,1.1465,2.03857
214,,1.91234,1.89789,2.50714,0.83114,0.8895,0.90554,,1.41382,1.14771,2.03734
215,,1.90577,1.90591,2.50088,0.83082,0.88849,0.90534,,1.41299,1.14794,2.03705
216,,1.90529,1.91556,2.51963,0.83237,0.88707,0.9052,,1.41221,1.1462,2.03753
217,,1.90717,1.90243,2.51159,0.83386,0.88782,0.90448,,1.41113,1.14831,2.03685
